CommentDate,Date,RestaurantName,Comment,Address
2023-09-15,2023-09-16,Joe's Shanghai,"Good food good pricesI liked the crispy fried beef, and the chickenBut sometimes crowded","46 Bowery St New York, NY 10013"
2023-09-14,2023-09-16,Joe's Shanghai,"This place gets really packed. This place ONLY ACCEPTS CASH, but they do have an ATM where you can withdraw cash. I ordered the Pork Meat Soup Dumplings, which comes in 8 and Shanghai Sauteed Flat Noodle. The Pork Meat Soup was okay...the meat was a bit bland but tasted well with the vinegar and soy sauce mix they provided. The Shanghai Sauteed Flat Noodle was really good and seasoned well! The service here was great, everyone was on top of it and would come by and change your dirty plates to clean plates. If you need something, they're quick to give it to you.Recommendation(s):- Shanghai Sauteed Flat NoodleService: 5/5Tip(s):- Accepts only cash, but they do have an ATM","46 Bowery St New York, NY 10013"
2023-09-12,2023-09-16,Joe's Shanghai,Simply never disappoints. You really just need to get the dumplings and some scallion pancakes and you'll be all set,"46 Bowery St New York, NY 10013"
2023-09-11,2023-09-16,Joe's Shanghai,"Lived up to the hype.  My 2nd time in New York and my wife's first time. Long line, service was prompt and food was outstanding. I see why it has won so many awards.","46 Bowery St New York, NY 10013"
2023-09-10,2023-09-16,Joe's Shanghai,The crab dumplings were very good but the beef soup noodles were a bit on the spicy side. The scallion pancakes were a bit bland but the crunch factor was great. The young chow fried rice was on the salty side but the rice cakes was decent,"46 Bowery St New York, NY 10013"
2023-09-10,2023-09-16,Joe's Shanghai,"Great restaurant with vegetarian specific options. Veg dumplings and lo mein were fresh and amazing. Service is good, no complaints except that they accept only cash, so be prepared. Ambiance is crowded, wouldn't recommend for a date.","46 Bowery St New York, NY 10013"
2023-09-04,2023-09-16,Joe's Shanghai,"I went to Joe's on a Holiday Monday right at opening. I did not have to wait. Service was quick. My husband and I ordered the pork soup dumplings, sesame chicken, and beef pan fried noodles. The pork dumpling was good but not great. It needed some salt and the texture of the pork was different than I've tried. The actual dumpling was good and there was enough soup inside. The sesame chicken was crispy and sweet. The beef pan fried noodles were very good as well. The beef was not overcooked. The noodles were soft and crunchy.The inside was big. Some of the tables were close to each other.Would I come back? Maybe for different entrees but not the soup dumplings.CASH ONLY!","46 Bowery St New York, NY 10013"
2023-09-04,2023-09-16,Joe's Shanghai,"I had a light bite at Joe's Shanghai, because it was convenient for a business meeting. I liked it well enough to suggest it for dinner with another couple at the end of the month, and they selected this from among the three options I listed.They were bustling before the dinner hour, or what would be an early supper, just after 5pm. They had a mix of people.The server was fast. He was gracious.We had the rice noodles (rice cake) with seafood and a dumpling soup. The former was a bit smoky, which is good. The latter was fresh, tasty, healthy, and clean; it had watercress, which whenever I eat it, I think I need to have that vegetable more often.For a casual, not expensive, but friendly and family friendly restaurant, you should consider Joe's Shanghai.","46 Bowery St New York, NY 10013"
2023-09-03,2023-09-16,Joe's Shanghai,No reservations and cash only !!Their XLBs were way better than Din Tai Fung's not gonna lie And the crepes/wraps for the Peking duck were perfectly thin!,"46 Bowery St New York, NY 10013"
2023-09-03,2023-09-16,Joe's Shanghai,"Overall, we were pleased with everything we ordered. Our favorites were:- Xaio Long Bao (highly recommend)- Crab and Pork Soup Dumplings (highly recommend)Wait times can be long. We arrived at 2 pm on a Sunday, which was over an hour wait for our party of 8.","46 Bowery St New York, NY 10013"
2023-09-13,2023-09-16,Juliana's,So my sister said we had to go here because I love pizza !!! She was like you can eat and entire pizza alone ! She wasn't wrong !! Juliana's is very flavorful and light so you can truly enjoy your entire meal.  We got there at a good time because we walked right in and were seated. We didn't wait to long at all. It was a bout 1 PM by the time we received our food and there were a bunch of people waiting outside to come in.  Paired my food with root beer.,"19 Old Fulton St Brooklyn, NY 11201"
2023-09-11,2023-09-16,Juliana's,I'm not too crazy about pizza and I also think pizza is just pizza but I tried Juliana's pizza for the first time and it was by far the BEST pizza I've ever had. The flavors were like no other. Let's not forget about the meatballs. Just perfection. The sauce was so freaking good.Food 10/10Service 10/10Location was very chill.,"19 Old Fulton St Brooklyn, NY 11201"
2023-09-11,2023-09-16,Juliana's,"After a full day of exploring Brooklyn and New York, I was on the hunt for some pizza, and this place popped up. Arriving during lunchtime, I was seated promptly, although I should note that they don't offer pizza by the slice, which was my initial plan. Instead, I opted for a personal-sized Margherita pizza, which seemed to be a popular choice on the menu.I had the privilege of sitting at the bar, where I could watch the skilled pizza makers in action, handcrafting and tossing the dough with impressive flair. It provided some entertaining visuals while I waited for my meal.When my pizza arrived, I was in for a treat! The tomato sauce and cheese tasted wonderfully fresh, and the crust was a standout feature. It had just the right thickness and was perfectly crispy, which is exactly how I prefer it.The service was also excellent; my waiter was friendly, and I was regularly checked on to ensure I had everything I needed. All in all, this is a fantastic spot to savor authentic New York pizza when you find yourself in Brooklyn!","19 Old Fulton St Brooklyn, NY 11201"
2023-09-10,2023-09-16,Juliana's,"I am a local and my friend from Alabama was here in NYC for the first time and wanted a margarita pizza. Juliana did  NOT disappoint. The  food is good and it's quality. The service is professional. The waiters wait on you at an even pace in such a busy place, which makes it pleasant.  Ambience is nice but small. Line is long but it moves pretty good.","19 Old Fulton St Brooklyn, NY 11201"
2023-09-09,2023-09-16,Juliana's,Amazing pizza that's well worth the long lines. Loved both of the pizzas we got. With the open kitchen you can even see them making the pizzas. Staff was super friendly and always checking in on us. Definitely stopping by whenever I'm in the area.,"19 Old Fulton St Brooklyn, NY 11201"
2023-09-08,2023-09-16,Juliana's,"Best pizza I've had in New York.As far as a classic New York pizza, it's the second best I've had, second only to a pizza place owned by a guy who was from NYC, but moved to the Midwest because it's so cheap, but he has since closed down, so yeah, Juliana's is the best New York style pizza, and arguably the best pizza I've had. There are times I crave different styles of pizza (Chicago, Detroit, classic grease pie, etc.), but as far as a classic style pizza, it's hard to be Juliana's.","19 Old Fulton St Brooklyn, NY 11201"
2023-09-08,2023-09-16,Juliana's,"First time trying NYC style pizza and this is the best place to have it! Great service, helpful staff and family style ambience. Love the classics, vegetarians are not limited on options with the topping customizations.","19 Old Fulton St Brooklyn, NY 11201"
2023-09-07,2023-09-16,Juliana's,"This place was wonderful.  We timed it such that we didn't have a wait for 3 people, so that was nice.  The person at the podium wasn't super friendly and seemed a bit annoyed, but that was the only person I noted that wasn't really friendly.  The food was great - we got a medium margherita and added sausage, plus a small white with mushrooms and peppers.  Everything was delicious and we managed to eat everything.  I would definitely come back!","19 Old Fulton St Brooklyn, NY 11201"
2023-09-07,2023-09-16,Juliana's,"Great pizza - high quality. However, always a line out the door. Worth a stop by if I'm the area, but be prepared to wait an hour","19 Old Fulton St Brooklyn, NY 11201"
2023-09-01,2023-09-16,Juliana's,"Awesome place. Husband, his family from Italy (3), and I arrived at 3:50ish to a line waiting for the 4:00 reopening of the restaurant. Fate wanted us to get seated during the first wave of crowd in the evening because it grew as the minutes went by and even after we finished our zas and left the perimeter.The place was very bustling even as we waited to get in. It got very crowded very quick, but it was handled well, efficiently, and the guy doing the head counts did a great job sitting us and everyone else.Interesting to know the history of Juliana's and the next door Grimaldi's! (Someone wrote it out down here and you can google as well). I went to Grimaldi's ten years ago with cousins so had to try this 4.5star-er obviously and ask what the Italian family thought of NY style pizza lmao. They loved it! There's definitely that char taste that's included that someone here wrote about that will or will not be your cup of tea. Personally, I don't care much for the wood oven taste, but it's appreciated when I do come across such a place. The tartness of the tomato sauce on the margherita was *chef's kiss*, and so was the not tomatoey at all-scallion pancetta no. 1. They're both equally tasty to me.I do gotta say it's easy to get thirsty when you're chomping down delicious pizza. I know it's Brooklyn, and the sodas are a little more special because they're the ones that are imported (or well at least I hope they are) and come in bottles, but I am still so dehydrated after spending that much on a drink. ($4-$5) Can y'all like. Get generic soda so this isn't a problem? Hehe. Just kidding. Be quenched with a nice icy tap if you're a little frugal like me.","19 Old Fulton St Brooklyn, NY 11201"
2023-09-14,2023-09-16,Time Out Market New York,Came here for an afternoon lunch.  The place was clean and there were a.lot of.options.  I tried the Mediterranean food and that was good.  The falafel was well made and the hummus was yummy!  Just a.fun place to wander!  I've been to a few of the Time Out Markets in different cities and they always seem to have good food options!  I'd come back!,"55 Water St Brooklyn, NY 11201"
2023-09-03,2023-09-16,Time Out Market New York,"An incredibly busy restaurant with mostly great, delicious food in one of the more well known neighborhoods in Brooklyn. Be prepared to wait, but it is worth it. Coffee, pancakes, and Biscuit Egg Sandwich are worthwhile purchases, tasty and filling.Only complaint is that portions do not match the prices.","55 Water St Brooklyn, NY 11201"
2023-09-03,2023-09-16,Time Out Market New York,"This is now my favorite food hall in NYC! I absolutely love all the outdoor seating options and the quality of the vendors there.We started off with tofu pad Thai from Wayla, which was a 10/10. It was full of flavor and the noodles were fantastic.Then we had blueberry pancakes from Clinton Street Baking Co. I'm not exaggerating when I say these were the best pancakes I have had in my life.Views from both the rooftop and outdoor seating on the main level are epic. Such an amazing way to enjoy the waterfront.I can't wait to return and try more things.Wheelchair access: no problem with entry from outside. There are indoor and outdoor elevators you can take to reach the rooftop level. The rooftop has one step down to the seating area but there is a gate on the side of the seating that a manager can unlock for wheelchair access. It requires asking people to move tables. Very poorly thought through as they could have either made the main entrance ramped or moved the tables to make area by the gate more accessible and left the gate open. One shouldn't have to wait for management to show up to simply access a seating area while disabled. I did not use the bathrooms so not sure of their accessibility.","55 Water St Brooklyn, NY 11201"
2023-09-03,2023-09-16,Time Out Market New York,"It's a very good place to stop and spend some time to eat , have some drinks, wonderful foods, drinks options,","55 Water St Brooklyn, NY 11201"
2023-09-02,2023-09-16,Time Out Market New York,Amazing food market in Dumbo. Worth checking out. Beware it's typically swarming with tourists and the bathrooms are sus. The food is good but overpriced. Great waterfront city views from the back of the market with benches to sit on.,"55 Water St Brooklyn, NY 11201"
2023-09-01,2023-09-16,Time Out Market New York,Good food options. Only thing is it's a little dark inside and very tight surroundings with little space in the walkways/aisles between the vendors and seating areas.,"55 Water St Brooklyn, NY 11201"
2023-08-29,2023-09-16,Time Out Market New York,It's a fancy and pricey food court.Total bill was $28 for the meal pictured below with a small tip and no beverage. It was overly greasy and not very good. The location and decor is nice but I wish I had gone to and patronized a more authentic Brooklyn establishment.,"55 Water St Brooklyn, NY 11201"
2023-08-28,2023-09-16,Time Out Market New York,"Dough Time Out Market in DUMBO's Time Out Market might just have served me the best donut I've ever had. The dough was unbelievably light and airy, and the flavors were simply extraordinary. While other vendors in the market looked enticing, we limited ourselves to the donuts - a choice that certainly paid off.","55 Water St Brooklyn, NY 11201"
2023-08-26,2023-09-16,Time Out Market New York,"I finally got a chance to check out this Time Out marketplace. I went on a weekday which was great because there was plenty of parking around the area. The first floor of the building had plenty of different foods to choose from. I got a matcha drink from Cha Cha. My lunch was from Mr. Taka Ramen. I got the veggie gyoza and chashu rice bowl. It was so delicious! There was seating but probably because it was a weekday. The upper floor has some more food places and alot of scenic places to take pics and sit. I can see how it would get crowded on the weekend but it's a great place to have lunch or a drink and see the views of Manhattan. Brooklyn bridge, the carousel  and Manhattan bridge. It's beautiful! I plan to visit again.","55 Water St Brooklyn, NY 11201"
2023-08-26,2023-09-16,Time Out Market New York,"The market has really expanded into a huge indoor, outdoor and rooftop food hall. Everything imaginable from liquor to ice cream, sushi, barbecue... Lots of clean seating, helpful staff, and endless views of Manhattan and the Hudson River.","55 Water St Brooklyn, NY 11201"
2023-09-15,2023-09-16,ARIARI,"Was excited to go given all the hype around their Busan style Korean late night snacks. We got 6+ texts throughout the day to make it to the restaurant on time which was overly excessive.We didn't have to wait on a Thursday night and started off with good Korean cocktails which were pretty good but PQR was not the best (small whiskey glass with maybe 2 shots worth of drinks for $14-17). Got 5 drinks in total.We ordered makHwe - Korean sashimi ($30ish) which was a small plate of fluke and yellowtail. Definitely overpriced and nothing special. Yookhwe (beef tartare) with baby octopus ($15) was ok but nothing special. Oh Sam bulgogi (pork + fried squid - $25) was unique and the squid was perfectly fried but low PQR again.As everyone suggests, dolsot albap ($18)) was our favorite and was worth paying for.The total damage after tip and tax was $200 and had some unique fusion experience but won't be a place I would return.","119 1st Ave New York, NY 10003"
2023-09-12,2023-09-16,ARIARI,"It's kinda okay. We ordered the uni dolsot al-bap and it was underwhelming. You can't really taste the uni, just cream and rice. The beef tartare was pretty good, and the soft shell crab was probably similar to tempura. Would come here again if a friend wanted to go but def would not be a recommend on my list. Ambiance was great though!","119 1st Ave New York, NY 10003"
2023-09-11,2023-09-16,ARIARI,"All the dishes were very flavorful and unique. Of the dishes I got, my favorite would be the mak-hoe. The fish was very fresh. The fried dishes were very unique as the fried dough was very airy and light. I love beef tartare but this beef tartare had more octopus to beef ratio. Something to note if you are a beef tartare lover and are expecting a lot of beef. But very solid place. We were surprisingly full from these dishes. Would really recommend. The drinks here are amazing!","119 1st Ave New York, NY 10003"
2023-09-11,2023-09-16,ARIARI,"Definitely a solid 4/5 stars for the food! It's pretty small inside, and they have an outdoor dining enclosed space too that's where the actual street/parking is. That setup kinda sucks for the waiters though because they have to walk through everyone in the streets to get to the outdoor dining space.But service was seriously impeccable - the staff are stationed, it seems, like every corner so they're always there if you need anything. We got our waters poured for us almost every time we drank, we had plates cleared immediately to make space for the next ones (but they left the sauces for us), and they even helped me wiped my table after a few dishes as they noticed I was taking a lot of pictures.In terms of food, it did live up to the hype for the most part, but I'd say that the one dish that got the most hype turned out to be the most underwhelming one. Yep, that's the dolsot al-bap, which is the fish roe/sea urchin cream that gets mixed into the rice, tableside. I'll get to that later. Let's start with the best:Fried Soft Shell Crab $18: it's two crabs cut into halves, so four pieces. I'm used to, and love, the salt and pepper soft shell crabs at Chinese restaurants and order it all the time. But Ariari really wowed me with how they did this! It's so simple, but the batter is insanely crispy and light, and it all holds together. Fresh crab, seasoned well, pairs deliciously with the aioli that they serve this with. I just loveee the coating of this. It does get greasy, so one or two pieces per person is more than enough. The waiter was just as shocked when I said that this was my favorite dish of the night haha.I initially wasn't even about to order this dish as I had my eyes set on the lamb stuffed peppers, but they didn't have that available that night so the crab was a replacement. DEF meant to be. Order this!Yook Hoe $15: this is the beef tartare with baby octopus. This dish has the most flavor and was soo creamy. A must order again for me if I come back with friends. The texture of the octopus was especially good, I felt like they gave even more octopus than beef. Doesn't matter, the combination of the meat, seafood, and fried onions was perfect.Scallop DIY Gimbap: While the scallop was fresh and everything went well together, I think this was definitely quite pricey for the portion. Beautiful presentation, tastes good, but the scallop was sliced so thinly that it was probably just one or two whole scallops at most put together. I made hand rolls out of this, but I also added the yook hoe to make the rolls bigger/packed. This one I would say is a bit hard to share, unless you don't mind each roll only have a tiny sliver of scallop. I don't think this is really worth it exactly, it wouldn't even cost as much at an omakase. Still delish, nonetheless.Squid and Pork: actually very generous with the pork here! Flavorful, sweet, a bit spicy. It's good, just not uniqueDolsot Al-Bap $19: here comes the dish that I've been seeing all the videos about! Unfortunately, I hyped myself too much? I was expecting something with more umami and the rice to be a lot creamier. But it was on the drier side for a rice dish. I didn't taste too much of the fish roe flavors, it was more of a seaweed mixed rice. It was still fine, just not as good as I thought it would be. It needed more salt at the very least.","119 1st Ave New York, NY 10003"
2023-09-10,2023-09-16,ARIARI,"great food and drinks, lovely selection of food from Busan! awesome music and good looking waiters were a plus.","119 1st Ave New York, NY 10003"
2023-09-10,2023-09-16,ARIARI,"Tried the scallop diy gimbap, soy braised lotus root salad, and dolsot al bap. FIRST, a special shout-out to the staff here - everyone was so kind and made it a great dining experience!Anazing food, fun flavors, and perfect sizes for sharing. The lotus root salad was my fav - lots of different flavors, and the dressing was sooo good. Scallop gimbap was a classic & scallop was sooo fresh and tender. Dolsot al-bap was also good, but i didn't think it was as impressive as other two. The taste of the uni didn't come through as much as I would have wanted. Overall would highly recommend making a reservation to try it out!","119 1st Ave New York, NY 10003"
2023-09-08,2023-09-16,ARIARI,Came for a last minute dinner with a friend and we were able to get sat in their covered outdoor section easily. The food was all super well done and fresh! My fave was the beef tartare,"119 1st Ave New York, NY 10003"
2023-09-03,2023-09-16,ARIARI,"Hmm it's a 4 but not a strong 4Scallop DIY: nah it's thin as balls and you could barely taste the scallopPancake: it's good and crispy, i liked this oneDolsot al bap: yummy in tummy and i drooledHap-cheon pork soup: nah it's so uninteresting. Really normal soup, didn't make my pants pop off.Overall i'm disappointed but i'd still potentially come back.","119 1st Ave New York, NY 10003"
2023-09-03,2023-09-16,ARIARI,"This was Saturday dinner at 7:15pm for outdoor seating. I am so happy I found an availability at an appropriate time because this restaurant is amazing. The dishes were amazing!My friends and I ordered scallop DIY gimbap & octopus sook-hoe and Salmon hoe gooksu as cold appetizers. The winner was the salmon hoe gooksu from these three cold dishes. The other two were good too, but the flavors in this dish was the best. Wish they added more sobu tbh.For hot dishes, we ordered glazed jang-eo and Dolsot al-bap. These went well together as flavorful fried seafood eel complimented the hot stone bimbim bap. As a drink, we got dae sun soju which was affordable and perfect with our dinner.I want to come back here and try the stews in the winter. Also, snag an indoor spot so we don't have to travel in and out for the restroom.","119 1st Ave New York, NY 10003"
2023-09-02,2023-09-16,ARIARI,I was a little wary of trying this place given that I found it on TikTok and I'm also korean so expectations are high. But overall it wasn't bad. Would only come back for the dolsot Al bap though5/5 - Dolsot Al BapHuge fan of fish eggs and loved that there was a ton in every bite. I would come back to order a large size if they had it on their menu3/5 - scallop DIY handrollTasted like something my fiancé and I bought at the korean market and made ourselves.3/5 - duck bulgogiNothing special. Hard pass2/5 - corn crème brûléeCrème brûlée is my favorite dessert so I was intrigued with the corn version. I wish they either put more corn or none at all. The top could've been harder too.Aside from the dolsot Al bap another one of our favorites was the free kimchi salad. That was actually reeeeeally tasty and we ended up killing 3 plates.Service 5/5. All the guys were really nice and attentive. Super hardworking too.,"119 1st Ave New York, NY 10003"
2023-09-05,2023-09-16,Salma,Ordered on Uber eats.Did the BOGO deal for the filet sandwich. It was pretty good. Will get it again.Delivery- did not follow all directions on order but overall it came out ok. Would order the sandwich again.Great for a Quick meal.Also ordered the eggplant dip - it was not anything to write home about. So def skip that if you're eyeing it.,"351 E 12th St New York, NY 10003"
2023-08-21,2023-09-16,Salma,"The restaurant boasts a warm and inviting ambiance, along with exceptional service and delectable food. I was particularly impressed by the authentic and fresh hummus, as well as the mixed platter. This experience has led me to believe that I've discovered my favorite Lebanese restaurant in NYC. I wholeheartedly recommend this establishment.","351 E 12th St New York, NY 10003"
2023-07-26,2023-09-16,Salma,"Have gotten delivery and eaten in-house. Portions are absurdly large, especially in person, and the food is SO SO GOOD. The quality is excellent, as well. Vibes/decor inside is excellent - reminds me of Ducks, the prior business, which is a good thing, because it had a comfortable, classy-without-trying-too-hard feel - and the service was excellent, even on a busy Friday night. Got Sara's mint tea, even on a warm summer evening, which WAS SO SO GOOD! Highly recommend putting this on the permanent menu. Love this business for the neigborhood. We will be regulars.","351 E 12th St New York, NY 10003"
2023-07-06,2023-09-16,Salma,So fresh and delicious. The mixed appetizer platter is the perfect lunch for two. Hummus is NEXT LEVEL.,"351 E 12th St New York, NY 10003"
2023-06-25,2023-09-16,Salma,So so delicious and the host is awesome will definitely be returning when back in the city!!!!!,"351 E 12th St New York, NY 10003"
2023-06-13,2023-09-16,Salma,"The only thing redeeming about this place was the ambience, the spicy potatoes and the hummus. Decorated in a super cute way with lots of plants and cute lamps, it gives off a very homely rustic vibe. Overall the food could be better! We ordered the chicken and lamb dishes and while the portions were amazingly big, the food could've been seasoned better.The falafel wrap was average and the fries were good but also heavily seasoned.The potatoes were a redeeming quality. Would definitely get the potatoes starters and just enjoy a meal of sides rather than the main dishes.The service was kind of confusing(?). When we sat down the host was definitely trying to rush us to order and kept coming to our table 2-3 times asking us if we're ready. However, our food took a pretty long time after. Our starters arrived quickly but we had finished them and still had to wait a while before our mains came. Although I can imagine they were busy for a Tuesday night, which is understandable, but then don't rush folks to order?","351 E 12th St New York, NY 10003"
2023-06-10,2023-09-16,Salma,Amazing food.... I will be back the next time we are in New York! We had the lamb kabobs!,"351 E 12th St New York, NY 10003"
2023-05-15,2023-09-16,Salma,Food is absolutely amazing! Came here with a big group and ordered almost a bit of everything.,"351 E 12th St New York, NY 10003"
2023-05-12,2023-09-16,Salma,Delicious authentic Lebanese food! Ingredients are always fresh and staff is very friendly,"351 E 12th St New York, NY 10003"
2023-05-10,2023-09-16,Salma,"All the stars go to friendliness of the people working there. They were sweet, very welcoming and quick to seat and serve us. With that, it definitely built up the expectation of amazing food to go with the service. Unfortunately they didn't match up.The QR scan menu was easy to scroll through with lots of pictures. We wanted to share some light plates since it was already pretty late in the evening. We ordered fattoush salad, moutabal eggplant and falafel sandwich. It all came out pretty quick with a side of pita bread.- salad was overdressed with strong vinegar dressing overwhelming the taste of the vegetables. It unsuccessfully tried to mask old soggy cucumber slices and hard cardboard-like tomato. We didn't finish it- eggplant had an interesting taste to it. At first I liked it but then it started to feel like fake smoke or meat grease mix that gave that aftertaste- falafel sandwich was dry with a stale deli pita around it. I avoided the pita basket after trying to the falafel (didn't take a pic. It was underwhelming)Sad! Wish it was better! Hope it will will improve!","351 E 12th St New York, NY 10003"
2023-09-15,2023-09-16,Soothr,"They're super busy/packed, but we were still able to do a walk in with about a 30 minute wait on a Friday night. The food does come out really fast and they have a time limit of 1 hour and 15 minutes per table, so that also helps with the turnaround. There's both indoor & outdoor seating; we didn't get to choose which, but didn't mind either way.For food, we got:Ba Mii Karee Pu (Chef Special Sautéed Jumbo Lump Crab & Egg Curry Over Yellow Noodles) - good flavor, but not enough crabShrimp Pad Thai - classic, but nothing to write home aboutSeared Duck Green Curry - my favorite of the night; the duck is so tender and the curry is the perfect amount of spice for me, though it was a bit too spicy for my friend to enjoy when we ran out of the rice it came withDuck Noodles - loved the contrast of flavor from the slices of pickled gingerFor cocktails, we got:Ruby (Thai Herb Infused Vodka, Dry Vermouth, Cranberry & Pomegranate Juice) - tastes of lemongrass and herbs if you like that!Aqua Marine (Vodka, Pineapple Juice, Blue Curaçao, Lemon Zest, Cointreau) - very sweetPearl (Maker's Mark, Egg White, Orange Zest) - my favorite, but pretty standardDara Citrine (Tequila, Mezcal, Tamarind Syrup, Thai Chili, Salt, Lime Juice) - basically a spicy, smokey margarita if you're into thatDefinitely a bit pricy but worth trying!","204 E 13th St New York, NY 10003"
2023-09-15,2023-09-16,Soothr,"Dropped into Soothr for a birthday dinner as a group of 6. We were running a bit late but they still held the table for us for around 20 minutes which was much appreciated.5/6 of us ordered the Kong Karee, which seems to be the star of their menu. Contrary to rave reviews here, while the Kong Karee was good, I don't think it was anything particularly mind-blowing. If I was in the area and managed to grab a res I'd definitely visit again but probably wouldn't go out of my way to wait more than 30 minutes for a table.","204 E 13th St New York, NY 10003"
2023-09-14,2023-09-16,Soothr,"I was recommended to check out this place on my trip to New York and I'm really glad I did!We ordered the duck noodles, pad Thai, khao soi, and the beef and roasted vegetable masamun curry - everything to share. Everything was done perfectly and everyone in our group had a different favourite dish. The khao soi was too spicy for me but the spice lover in our group enjoyed it.The service was also really good and attentive. We had our glasses of water refilled many times without even asking.If you can book a reservation early! We booked ours a few weeks before and there were only a few time-slots available.","204 E 13th St New York, NY 10003"
2023-09-13,2023-09-16,Soothr,"Before arriving to my dinner reservation at Soothr, I had to first email them as I was arriving in a party of 6. We were greeted warmly by staff upon our arrival and shown to our table, which was already prepared for us. The interior of the restaurant is quite pretty and the red lights made me feel like I was in the set of a Wong Kar Wai movie (I later found out there was actually a photograph from one of his movies above our table).We had heard great things about their tom yum seafood hot pot ($26) and their koong karee ($24), and also ordered some Thai iced tea ($7 each), duck rolls ($14), and shrimp pad thai ($18). Our server was very nice and patient and gave us a few recommendations we went along with, including the duck noodles ($24) and stir-fried morning glory ($12). He also noticed that I was taking pictures of the food (which came out very red due to the lighting) so he brought out a lamp to help-- have I mentioned the service is fantastic?Our food came out with almost no wait at all. The staff moves quickly and efficiently, and made sure to check on us a few times during our dinner. I thought the food overall leaned a little sweet and mild-- I am more used to the bold spicy and sour palate of Zaab Zaab and Ugly Baby. This is not to say my meal at Soothr was not satisfying, but I think if you prefer a spice level akin to Thai Diner, then Soothr will be right up your alley. I particularly enjoyed the tom yum seafood hot pot (though I felt it could be spicier and more tart, but felt it was absolutely laden with seafood), the koong karee (comforting, sweet, creamy shrimp-egg curry sauce), and the mango sticky rice ($15).","204 E 13th St New York, NY 10003"
